id,name,address.street,address.city,address.zipCode,address.county,lat,long,match_address,match_name,DAY1_OPEN,DAY1_CLOSE,DAY2_OPEN,DAY2_CLOSE,DAY3_OPEN,DAY3_CLOSE,DAY4_OPEN,DAY4_CLOSE,DAY5_OPEN,DAY5_CLOSE,DAY6_OPEN,DAY6_CLOSE,DAY0_OPEN,DAY0_CLOSE
1773,Target Store T-2193,15300 Grove Circle N,Maple Grove,55369,Hennepin,45.1364015,-93.474988,"15300 Grove Cir N, Maple Grove, MN 55369, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1621,TARGET STORE T-2200,755 53rd Ave NE,Fridley,55421,Anoka,45.0660667,-93.2518234,"755 53rd Ave NE, Fridley, MN 55421, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7854,TARGET STORE T-2223,300 Clydesdale Trl,Medina,55340,Hennepin,45.0455627,-93.5291061,"300 Clydesdale Trail, Medina, MN 55340, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1737,Target Store T-2229,1300 University Ave,Saint Paul,55104,Ramsey,44.9529493,-93.1556893,"1300 University Ave W, St Paul, MN 55104, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1771,Target Store T-2300,6445 Richfield Pkwy,Richfield,55423,Hennepin,44.8857943,-93.2485807,"6445 Richfield Pkwy, Richfield, MN 55423, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1774,Target Store T-2313,7000 York Ave S,Edina,55435,Hennepin,44.8757135,-93.3235882,"7000 York Ave S, Edina, MN 55435, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1768,Target Store T-2321,4611 Maine Ave SE,Rochester,55904,Olmsted,43.9541916,-92.4654623,"4611 Maine Ave SE, Rochester, MN 55904, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1772,Target Store T-2340,810 County Rd 42 W,Burnsville,55337,Dakota,44.7489853,-93.2889404,"810 County Rd 42 W, Burnsville, MN 55337, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1802,Target Store T-2390,15560 Pilot Knob Rd,Apple Valley,55124,Dakota,44.7238414,-93.1749329,"15560 Pilot Knob Rd, Apple Valley, MN 55124, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7895,TARGET STORE T-2406,449 COMMERCE DR,Woodbury,55125,Washington,44.939717,-92.909384,"449 Commerce Dr, Woodbury, MN 55125, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7862,TARGET STORE T-2449,875 E MAIN ST,Waconia,55387,Carver,44.8406396,-93.7711731,"875 Main St, Waconia, MN 55387, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1986,Target Store T-2456,15800 87th St NE,Otsego,55330,Wright,45.2787216,-93.5635196,"15800 87th St NE, Otsego, MN 55330, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8257,Target Store T-2519,7841 Amana Trl,Inver Grove Heights,55077,Dakota,44.8361244,-93.087471,"7841 Amana Trail, Inver Grove Heights, MN 55077, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8628,Tawakal Halal,120 W Lake St,Minneapolis,55408,Hennepin,44.9485018,-93.2807611,"3118 United States, 120 W Lake St, Minneapolis, MN 55408, United States",Tawakal Halal Grocery,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200
8773,Tawakal Halal Market,12605 Nicollet Ave S,Burnsville,55337,Dakota,44.7734015,-93.2768581,"12605 Nicollet Ave, Burnsville, MN 55337, United States",Tawakal halal market,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
8992,TC's Foods,112 E. Main Street,Remer,56672,Cass,47.0566341,-93.9154042,"112 E Main St, Remer, MN 56672, United States",TC's FOODS,900,1300,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800
681,TEAL'S MARKET,"970 DIEKMANN DR, SUITE 1",Paynesville,56362,Stearns,45.3709857,-94.7305104,"970 Old Hwy 23, Paynesville, MN 56362, United States",Teal's Market,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200
8519,Teal's Market - Albany,122 8th St,Albany,56307,Stearns,45.6310254,-94.5736544,"122 8th St, Albany, MN 56307, United States",Teal's Market,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
5123,TEAL'S MARKET-CASS LAKE,604 LYLE CHISHOLM DR NW,Cass Lake,56633,Cass,47.3815955,-94.6129413,"604 Lyle Chisholm Dr, Cass Lake, MN 56633, United States",Teal's Market,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
1736,TEAL'S MARKET - COLD SPRING,"201 2nd Ave S, Suite 100",Cold Spring,56320,Stearns,45.4535964,-94.4264522,"2nd Ave S, Cold Spring, MN 56320, United States",Teal's Market,700,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
1921,TEAL'S MARKET ISLE,365 W MAIN ST,Isle,56342,Mille Lacs,46.1376948,-93.4716317,"365 W Main St, Isle, MN 56342, United States",Teal's Market,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1368,TEAL'S MARKET MILACA,235 2ND AVE SW,Milaca,56353,Mille Lacs,45.7533333,-93.6516667,"235 2nd Ave SW, Milaca, MN 56353, United States",Teals Market,700,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
8248,Teal's Market - Spicer,"301 HIGHWAY 23, SUITE 3",Spicer,56288,Kandiyohi,NaN,NaN,"301 MN-23 #3, Spicer, MN 56288, United States",Teal's Market,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1743,TERSTEEG'S HOLIDAY MARKET,1111 E BRIDGE ST,Redwood Falls,56283,Redwood,44.5423407,-95.1019754,"1111 E Bridge St, Redwood Falls, MN 56283, United States",Tersteeg's,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
8161,The Grocery Store,810 Hwy 73,Floodwood,55736,Saint Louis,46.925484,-92.9146073,"Floodwood, MN 55736, United States",The Grocery Store,900,1300,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
8383,The Kosher Spot,4214 Minnetonka Blvd,Saint Louis Park,55416,Hennepin,44.948863,-93.3332381,"4214 Minnetonka Blvd, Minneapolis, MN 55416, United States",The Kosher Spot,900,1800,800,2000,800,2000,800,2000,800,2230,800,1800,NaN,NaN
1697,THE MARKETPLACE,900 CENTRAL AVE E,Saint Michael,55376,Wright,45.2589897,-94.1124895,"900 Central Ave E, St Michael, MN 55376, United States",Marketplace,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200
6713,THE MARKETPLACE,310 COKATO ST W,Cokato,55321,Wright,45.2112236,-93.6484603,"310 Cokato St W, Cokato, MN 55321, United States",Marketplace,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200
7677,THE MARKETPLACE,660 ELM ST E,Annandale,55302,Wright,45.0790711,-94.1944057,"660 Elm St E, Annandale, MN 55302, United States",Marketplace,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
1202,TIGER SUPERMARKET,893 RICE ST,Saint Paul,55117,Ramsey,44.9681689,-93.1061082,"893 Rice St, St Paul, MN 55117, United States",Tiger Supermarket,1300,1900,900,1900,900,1900,900,1900,900,1900,900,1900,900,1900
185,TIM'S FOOD PRIDE,873 6TH ST,Dawson,56232,Lac Qui Parle,44.9281378,-96.0541842,"873 6th St, Dawson, MN 56232, United States",Tim's Food Pride,730,1600,730,2000,730,2000,730,2000,730,2000,730,2000,730,1800
7414,TIM & TOM'S SPEEDY MARKET,2310 COMO AVE,Saint Paul,55108,Ramsey,44.9824387,-93.1961728,"2310 Como Ave, St Paul, MN 55108, United States",Tim & Tom's Speedy Market Inc,800,1800,800,1900,800,1900,800,1900,800,1900,800,1900,800,1800
8197,Tofte General Store,7125 Hwy 61,Tofte,55615,Cook,47.577153,-90.830552,"7125 MN-61, Tofte, MN 55615, United States",Tofte General Store,800,1800,800,1900,800,1900,800,1900,800,1900,800,1900,800,1900
7231,TOM'S MARKET,111 E 6TH ST,Starbuck,56381,Pope,45.6133162,-95.5300869,"111 E 6th St, Starbuck, MN 56381, United States",Tom's Food Pride,730,2000,730,2000,730,2000,730,2000,730,2000,730,2000,730,2000
